FullDate,Season,PlayDay,DateKey
1976-01-03,1975,19,827
1976-01-04,1975,19,828
1976-01-10,1975,20,829
1976-01-11,1975,20,830
1976-01-17,1975,21,831
1976-01-18,1975,21,832
1976-01-24,1975,22,833
1976-01-25,1975,22,834
1976-02-01,1975,23,835
1976-02-04,1975,23,836
1976-02-11,1975,23,837
1976-02-07,1975,24,838
1976-02-08,1975,24,839
1976-02-18,1975,24,840
1976-02-14,1975,25,841
1976-02-15,1975,25,842
1976-02-22,1975,26,843
1976-03-06,1975,27,844
1976-03-07,1975,27,845
1976-03-13,1975,28,846
1976-03-14,1975,28,847
1976-03-20,1975,29,848
1976-03-21,1975,29,849
1976-03-24,1975,30,850
1976-03-27,1975,31,851
1976-03-28,1975,31,852
1976-04-03,1975,32,853
1976-04-04,1975,32,854
1976-04-07,1975,33,855
1976-04-10,1975,34,856
1976-04-11,1975,34,857
1976-04-15,1975,35,858
1976-04-16,1975,35,859
1976-04-17,1975,35,860
1976-04-18,1975,35,861
1976-04-30,1975,36,862
1976-05-01,1975,36,863
1976-05-02,1975,36,864
1976-05-09,1975,37,865
1976-05-16,1975,38,866
1976-09-11,1976,1,867
1976-09-12,1976,1,868
1976-09-18,1976,2,869
1976-09-19,1976,2,870
1976-09-22,1976,3,871
1976-09-25,1976,4,872
1976-09-26,1976,4,873
1976-10-02,1976,5,874
1976-10-03,1976,5,875
1976-10-06,1976,6,876
1976-10-09,1976,7,877
1976-10-10,1976,7,878
1976-10-16,1976,8,879
1976-10-17,1976,8,880
1976-10-23,1976,9,881
1976-10-24,1976,9,882
1976-11-13,1976,10,883
1976-11-14,1976,10,884
1976-11-20,1976,11,885
1976-11-21,1976,11,886
1976-11-27,1976,12,887
1976-11-28,1976,12,888
1976-12-04,1976,13,889
1976-12-05,1976,13,890
1976-12-11,1976,14,891
1976-12-12,1976,14,892
1976-12-18,1976,15,893
1976-12-19,1976,15,894
1977-01-02,1976,16,895
1977-01-09,1976,17,896
1977-01-15,1976,18,897
1977-01-16,1976,18,898
1977-01-22,1976,19,899
1977-01-23,1976,19,900
1977-01-29,1976,20,901
1977-01-30,1976,20,902
1977-02-05,1976,21,903
1977-02-06,1976,21,904
1977-02-12,1976,22,905
1977-02-13,1976,22,906
1977-02-19,1976,23,907
1977-02-20,1976,23,908
1977-03-05,1976,24,909
1977-03-06,1976,24,910
1977-03-12,1976,25,911
1977-03-13,1976,25,912
1977-03-19,1976,26,913
1977-03-20,1976,26,914
1977-04-02,1976,27,915
1977-04-03,1976,27,916
1977-04-07,1976,28,917
1977-04-08,1976,28,918
1977-04-09,1976,28,919
1977-04-10,1976,28,920
1977-04-11,1976,28,921
1977-04-16,1976,29,922
1977-04-17,1976,29,923
1977-04-23,1976,30,924
1977-04-24,1976,30,925
1977-04-30,1976,31,926
1977-05-01,1976,31,927
1977-05-06,1976,32,928
1977-05-07,1976,32,929
1977-05-08,1976,32,930
1977-05-15,1976,33,931
1977-05-22,1976,34,932
1977-08-17,1977,1,933
1977-08-20,1977,2,934
1977-08-21,1977,2,935
1977-08-24,1977,3,936
1977-09-07,1977,4,937
1977-09-10,1977,5,938
1977-09-11,1977,5,939
1977-09-17,1977,6,940
1977-09-18,1977,6,941
1977-09-21,1977,7,942
1977-09-24,1977,8,943
1977-09-25,1977,8,944
1977-10-01,1977,9,945
1977-10-02,1977,9,946
1977-10-05,1977,10,947
1977-10-08,1977,11,948
1977-10-09,1977,11,949
1977-10-15,1977,12,950
1977-10-16,1977,12,951
1977-11-05,1977,13,952
1977-11-06,1977,13,953
